2018-01-13 21:22:52,885 INFO 4868 [egg:logger] init all loggers with options: {"dir":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\logs\\boncake-pro","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"INFO","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"boncake-pro-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-13 21:22:52,950 INFO 4868 [egg-watcher:agent] watcher start success
2018-01-13 21:23:19,108 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799106.206,"birthtimeMs":1515849799102.2046,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.106Z","birthtime":"2018-01-13T13:23:19.102Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,109 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799106.206,"birthtimeMs":1515849799102.2046,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.106Z","birthtime":"2018-01-13T13:23:19.102Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,110 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799106.206,"birthtimeMs":1515849799102.2046,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.106Z","birthtime":"2018-01-13T13:23:19.102Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,110 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849799102.2046,"mtimeMs":1515849799102.2046,"ctimeMs":1515849799102.2046,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.102Z","ctime":"2018-01-13T13:23:19.102Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:19,113 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_old___","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":3096224743828744,"size":1864,"atimeMs":1515849568439.9026,"mtimeMs":1515849568443.9036,"ctimeMs":1515849799110.209,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:19:28.440Z","mtime":"2018-01-13T13:19:28.444Z","ctime":"2018-01-13T13:23:19.110Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,114 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799111.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.111Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-13 21:23:19,114 INFO 4868 Recieved a change event from eventSource: {"event":"change","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index","stat":{"dev":3466743336,"mode":16822,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":13510798882117010,"size":0,"atimeMs":1515849799113.21,"mtimeMs":1515849799113.21,"ctimeMs":1515849799113.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.113Z","mtime":"2018-01-13T13:23:19.113Z","ctime":"2018-01-13T13:23:19.113Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":true,"isFile":false}
2018-01-13 21:23:19,115 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html___jb_tmp___","remove":true,"isDirectory":false,"isFile":false}
2018-01-13 21:23:19,115 INFO 4868 Recieved a change event from eventSource: {"event":"rename","path":"C:\\Users\\wangting\\Documents\\GitHub\\wt_shopApp\\app\\view\\index\\index.html","stat":{"dev":3466743336,"mode":33206,"nlink":1,"uid":0,"gid":0,"rdev":0,"ino":48413695994234290,"size":1869,"atimeMs":1515849799102.2046,"mtimeMs":1515849799106.206,"ctimeMs":1515849799111.21,"birthtimeMs":1515836628722.0186,"atime":"2018-01-13T13:23:19.102Z","mtime":"2018-01-13T13:23:19.106Z","ctime":"2018-01-13T13:23:19.111Z","birthtime":"2018-01-13T09:43:48.722Z"},"remove":false,"isDirectory":false,"isFile":true}
